"Date","Google","bing","Yahoo!","Baidu","YANDEX","DuckDuckGo","Naver","Ecosia","Sogou","CocCoc","Petal Search","Seznam","Haosou","Qwant","Shenma","StartPage","Mail.ru","Daum","Other"
2021-09,92.04,2.66,1.48,1.64,0.9,0.61,0.1,0.12,0.15,0.05,0.03,0.03,0.05,0.03,0.03,0.02,0.01,0.01,0.03
2021-10,91.66,2.74,1.5,1.91,0.96,0.6,0.1,0.12,0.12,0.05,0.03,0.02,0.06,0.03,0.03,0.02,0.02,0.01,0.03
2021-11,91.42,3.14,1.53,1.75,0.92,0.66,0.11,0.13,0.1,0.05,0.03,0.02,0.02,0.03,0.02,0.02,0.01,0.01,0.03
2021-12,91.94,2.86,1.5,1.37,1.1,0.67,0.12,0.12,0.06,0.05,0.04,0.02,0.02,0.03,0.02,0.02,0.01,0.01,0.03
2022-01,91.9,2.88,1.51,1.14,1.28,0.69,0.12,0.12,0.07,0.06,0.05,0.03,0.02,0.03,0.02,0.02,0.01,0.01,0.03
2022-02,92,2.97,1.51,1.18,1.06,0.69,0.11,0.12,0.06,0.07,0.05,0.03,0.02,0.03,0.02,0.02,0.01,0.01,0.04
2022-03,91.56,3.1,1.47,1.5,1.07,0.69,0.12,0.12,0.05,0.06,0.07,0.03,0.03,0.03,0.02,0.02,0.01,0.01,0.04
2022-04,92.09,3.02,1.39,1.27,0.87,0.68,0.12,0.15,0.07,0.06,0.07,0.04,0.03,0.03,0.03,0.02,0.01,0.01,0.04
2022-05,92.48,3.08,1.3,0.79,1.05,0.62,0.15,0.13,0.06,0.06,0.07,0.04,0.03,0.03,0.02,0.02,0.01,0.01,0.04
2022-06,91.86,3.2,1.32,0.77,1.52,0.64,0.17,0.11,0.05,0.07,0.07,0.06,0.02,0.02,0.02,0.02,0.02,0.01,0.04
2022-07,91.46,3.29,1.34,0.91,1.48,0.71,0.2,0.11,0.15,0.08,0.07,0.06,0.03,0.02,0.02,0.02,0.02,0.01,0.04
2022-08,92,3.34,1.34,0.83,0.96,0.71,0.21,0.11,0.11,0.06,0.06,0.05,0.08,0.02,0.02,0.02,0.01,0.01,0.04
2022-09,92.42,3.45,1.32,0.65,0.78,0.62,0.2,0.11,0.08,0.06,0.07,0.04,0.06,0.02,0.02,0.02,0.01,0.01,0.04
